,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,DSS_73_090224
"(2,5-Dimethoxyphenyl)acetone",13.783405868376022,15.564115838261685,16.027442504336406,15.39656988471546,16.548397760488008
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",19.044780457273152,21.03415127487163,19.36205780789064,19.044780457273152,18.299161313868307
(4-Fluorophenyl)phenylmethanol,,,,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",27.706069701939082,27.439594575526513,28.328763097489578,28.220824986859178,25.248245599251963
"3,4,5-Trimethoxyamphetamine",6.637474595960846,23.77270330773383,24.059471680211118,23.584213588252027,21.89766089201072
Oxypeucedanin,,,,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",23.953297105679837,26.8471068534773,26.124112340107267,25.96252317418443,
"1-(2,4-Dimethoxyphenyl)-propan-2-one",18.145516841146943,18.47862430573336,18.76637914203081,17.917954706335404,16.78619280811605
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",24.791158461587774,24.304911461865277,25.58298494600797,24.69908251133796,25.313618060977973
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",21.42405899916408,20.159049269761585,21.03415127487163,21.89766089201072,16.954735439681233
1-(Cyclohexylmethyl)-4-piperidinylamine,14.91150018039568,15.925482683255618,,7.5486253233047425,
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,18.527065735233002,18.816900848646988,19.236639097669983,18.145516841146943,18.87000098295748
"1,2,4-Butanetriol, (S)",,,,,
"1,2-Benzenedicarboxylic acid, butyl octyl ester",,,,,
"1,2-Bis(trimethylsiloxy)cyclohexene",,19.90628699179653,,17.044039991717742,
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,11.999708944648896,13.019379474962212,12.340219003345359
"1,2-Cyclohexanediol, (Z)",16.267931772699097,17.313901308851932,17.259371352214917,16.548397760488008,17.259371352214917
"1,3-Butanediamine",,,,,
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",28.139723574834868,28.139723574834868,28.73936053878384,27.78907181958203,27.92524459775121
"1,3-Propanediol",,,,,
10-Undecynoic acid,,,,,
"13-Docosenamide, (Z)",,,,,
1-Butanol,,,27.92524459775121,27.084943944408092,26.8471068534773
"1-Heptanol, 2-propyl-",,,,,
1-Hexacosanol,,,,,
1-Octadecanol,,10.589741767314072,,3.026346101989217,13.019379474962212
"1-Octanol, 2-butyl-",25.6563659490016,25.96252317418443,26.200929917790297,25.792817913981178,26.023750424771674
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",,,,33.78547332532239,
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",,,,,
"2(5H)-Furanone, 4-(hydroxymethyl)",18.76637914203081,18.76637914203081,18.964499198463745,18.929456495102794,18.527065735233002
"2-(Ethylamino)ethanol, N-acetyl",32.65987336076064,32.00781944442083,32.65987336076064,31.668951186609984,32.65987336076064
2-(Methylamino)ethanol,26.387010738920857,26.124112340107267,27.004989997162102,25.741137750046672,26.200929917790297
"2,2'-Bipyridine",21.36156896985457,21.278227382097498,21.566275994088834,20.85775323035948,21.566275994088834
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",18.007855678299716,17.79122014145856,17.96713333278627,17.79122014145856,15.564115838261685
"2,3-Dihydroxybutanoic acid",,33.78547332532239,33.78547332532239,32.00781944442083,30.370043719919497
"2',3'-Di-O-acetyladenosine",,,6.033603261326803,2.229733197380392e-06,
"2,4,4'-Trihydroxybenzophenone",19.977070348849676,19.977070348849676,20.239280036683237,18.206837600992994,20.6292687562774
"2,4,6-Cycloheptatrien-1-one",,24.69908251133796,,23.953297105679837,22.10136387655403
"2,4-Dihydroxyacetophenone",,,,,
"2,4-Dimethoxybenzaldoxime",,,,,
"2,4-Di-tert-butylphenol",23.072538359028545,22.991190162689342,23.53191592986123,22.81629933915454,23.417291798715073
"2,4-Imidazolidinedione, 5,5-dimethyl",20.85775323035948,20.349076790547734,21.278227382097498,18.47862430573336,22.663346963173684
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",20.437043584347983,19.511528355008892,18.572420897099427,,21.42405899916408
"2,5-Dimethoxybenzhydrazide",24.304911461865277,25.248245599251963,25.313618060977973,25.404802973180967,22.60513085670781
"2,5-Dimethoxybenzonitrile",19.55840932952848,20.53009211757007,21.151328125650927,20.6292687562774,19.044780457273152
"2,5-Dimethoxyphenol",22.991190162689342,23.870386627878066,24.241680361020343,23.99000942053065,22.54252442178061
"2',5'-Dimethoxypropiophenone",25.050447238005177,25.6563659490016,26.341187662588105,26.45236086775373,24.419963405671634
"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",21.9535073039897,,,20.349076790547734,21.278227382097498
"2-Allyl-1,4-dimethoxybenzene",25.491807134917025,25.58298494600797,26.023750424771674,25.58298494600797,25.491807134917025
2-Amino-4-methylbenzophenone,18.40008695193352,17.96713333278627,18.007855678299716,19.192546564593975,16.894290018224726
2-Aminoquinolin-8-ol,,,,24.13416838153767,
2-Butanol,,,,,
2-Buten-1-ol,17.313901308851932,21.151328125650927,20.715974098065832,,
"2-Butene-1,4-diol",,20.6292687562774,16.38716185479659,,
2-Butenedioic acid,25.741137750046672,24.491789288861316,25.248245599251963,25.140663431027427,22.991190162689342
"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",26.341187662588105,26.341187662588105,26.50296267227539,26.96160059936936,24.791158461587774
2-Butoxyethanol,13.019379474962212,14.22183651652919,15.564115838261685,11.053448878828174,15.925482683255618
2-Cyanobenzaldehyde,,,,,
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",19.723751953711417,19.82917893481498,18.87000098295748,19.41868971884918,19.36205780789064
"2-Cyclohexen-1-one, 3-methyl-",20.6292687562774,21.49512426745769,22.017772579784815,21.278227382097498,18.929456495102794
2-Decanol,18.697253042531315,18.697253042531315,19.192546564593975,18.007855678299716,19.236639097669983
2-Ethyl-1-butanol,19.90628699179653,20.85775323035948,,20.437043584347983,
2-Ethylhexanoic acid,26.567254262059528,26.567254262059528,26.567254262059528,26.06651650878252,26.50296267227539
2-Ethylhexanol,,,,,
"2-Furancarbodithioic acid, methyl ester",,,,,
2-Furoic acid,16.207484324420978,17.044039991717742,17.128341573761485,15.684213392506413,17.313901308851932
2-Hexanol,26.269939079141064,25.741137750046672,25.792817913981178,26.50296267227539,24.241680361020343
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",7.5486253233047425,,13.019379474962212,4.357485352481382,14.22183651652919
"2-Hydroxy-2',4',6'-trimethoxychalcone",,,,,
2-Hydroxy-3-methylbutyric acid,5.4519271051056934,8.959893012120766,10.589741767314072,2.0053360546098284,13.487298878543296
"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",,,,,
2-Isopropyl-5-methyl-1-heptanol,28.73936053878384,,,,
"2-Methyl-1,3-butanediol",22.92787490413422,22.81629933915454,23.072538359028545,22.262186034564476,23.53191592986123
2-Methyl-3-pentanol,15.794924887690241,16.700122639813483,18.090663406345644,,
"2-Methylcyclohexanol, (Z)",16.78619280811605,16.954735439681233,16.954735439681233,15.564115838261685,17.96713333278627
"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",21.89766089201072,21.89766089201072,,21.42405899916408,
2-Naphthol,15.925482683255618,16.267931772699097,16.78619280811605,15.267001008214582,17.917954706335404
2-Norbornanemethanol,,,,25.89217197325309,
"2-Oxiraneethanol, 2-t-butyldimethysilyloxymethyl- acetate",,,,,
2-Pentadecanone,1.8466198968201704,5.2319467103497415,7.5486253233047425,0.3939723285303532,10.589741767314072
"2-Pivaloyl-1,3-indandione",,,,,
2-Propyl-1-pentanol,20.715974098065832,23.35257549176473,23.29594091395716,22.430766960994436,
2-Pyrrolidone-5-carboxylic acid,29.43670460039806,29.43670460039806,31.668951186609984,29.43670460039806,28.597049460306497
"2-Thiophenecarboxylic acid, 4-cyanophenyl ester",,,,,
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",20.776972835570746,21.63965483051689,21.811268708817973,21.70761198277439,19.41868971884918
3-(4-Methoxyphenyl)coumarin,,,,,
"3,3-Bis{4-[(trimethylsilyl)oxy]phenyl}-2-benzofuran-1(3H)-one",,,,,
"3,3-Dimethylacrylic acid",,,,22.336032499821254,
"3,4-Dihydroxybenzaldehyde",,,,,
"3,4-Methylenedioxyamphetamine",,27.084943944408092,,,27.78907181958203
