n1,n2,edge_dir
ENSMUSG00000031451-P,"N,N-Dimethyl-2-cyclohexyloxyethylamine",-1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",(pm)-alpha-Tocopherol acetate,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","(R*,S*)-2,3-Dihydroxybutanoic acid",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Cyclopentylethanol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Deoxypentitol,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",1-Monoacetin,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",10-Heptadecenoic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-(Decanoyloxy)propane-1,3-diyl dioctanoate",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Ethyl-3-hydroxypropionic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Hydroxy-2-methylbutyric acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",2-Methyl-4-pentenoic acid,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2-Propanone, bis(1-methylethyl)hydrazone",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",3-Hexenedinitrile,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","3beta-TRIMETHYLSILOXY-5alpha,6alpha-EPOXYCHOLESTANE",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol","3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",5-Hydroxyquinoline,1
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",Aceturic acid,1
