ID,896,T0.7,T0.8
ENSMUSG00000027374-P,6.50496586674294,5.910311749663849,6.885563890964352
ENSMUSG00000042626-P,4.232267354256176,3.5312132431986103,4.737738392123119
ENSMUSG00000055681-P,7.675039560506247,7.911320963527596,7.865703314104701
ENSMUSG00000028412-P,6.303022613945795,6.948476592165153,6.326896664973563
ENSMUSG00000054484-P,4.47147194203123,5.324676047276037,4.961030935308618
ENSMUSG00000024425-P,9.880247139238056,10.251128278311183,9.69995942305578
ENSMUSG00000032216-P,10.7248211386656,10.527861009187651,10.298482809513397
ENSMUSG00000025979-P,7.384442664679167,7.554069914600203,7.965747383223005
ENSMUSG00000051343-P,5.547148967576114,5.749688705337369,5.710445808937475
ENSMUSG00000035443-P,8.61025890516807,8.711569294317053,8.46236903904721
ENSMUSG00000028991-P,5.974033007845808,6.206954718790918,5.989310299083667
ENSMUSG00000036948-P,5.258688447768312,5.120836548556326,6.244311273730956
ENSMUSG00000033900-P,6.596240018032795,6.054829852279387,6.965074548233909
ENSMUSG00000041936-P,4.356821614027285,2.875129551690155,4.320598421947695
ENSMUSG00000034584-P,2.793193551827114,1.0399210909765384,2.7187049314574803
ENSMUSG00000068921-P,5.2902722705515055,6.186180275763554,5.581822928035971
ENSMUSG00000049670-P,4.938197499381258,2.385282137693864,4.320598421947695
ENSMUSG00000044224-P,6.012414969129594,6.677889559275795,6.087331193886346
ENSMUSG00000030216-P,7.675039560506247,8.117394690981925,7.357712407761936
ENSMUSG00000071072-P,7.221979697164291,7.227974387724399,7.524474121970149
ENSMUSG00000021243-P,6.303022613945795,5.910311749663849,7.146563278657072
ENSMUSG00000016495-P,5.59851402558366,4.244427258259998,5.2420913129651465
ENSMUSG00000026803-P,6.206999609854352,5.163973699473649,5.512938895848565
ENSMUSG00000036188-P,5.648113003991458,6.553639072446206,5.937683736208367
ENSMUSG00000068284-P,6.012414969129594,6.537327466754477,6.772237174073755
ENSMUSG00000033237-P,5.914474767210485,7.521270076509977,5.963727936145781
ENSMUSG00000063894-P,5.089482198528558,6.7784696542164165,4.611634412683991
ENSMUSG00000027536-P,2.6050793803100993,1.0399210909765384,3.604739428120841
ENSMUSG00000069727-P,3.4813634719760502,1.0399210909765384,3.312157763979618
ENSMUSG00000042118-P,3.8637402043734568,3.3930092982402096,4.544192630379789
ENSMUSG00000094002-P,0.8854767201948464,0.0,0.0
ENSMUSG00000039253-P,7.309355775937218,7.345055888559737,7.327943704132036
ENSMUSG00000031916-P,5.351438341732733,4.660532175221,6.179113860938536
ENSMUSG00000025477-P,6.633656368408126,6.750440818180258,6.9779104999035555
ENSMUSG00000036371-P,9.854067486572312,9.49650763815482,10.009088636847252
ENSMUSG00000094595-P,3.4813634719760502,2.875129551690155,4.676063785822748
ENSMUSG00000041126-P,8.06567523409639,8.373143799393395,7.83781021354696
ENSMUSG00000034064-P,6.50496586674294,5.984379634000111,6.514779113629807
ENSMUSG00000004591-P,7.213767618436221,6.008247338509236,7.576036470106395
ENSMUSG00000035295-P,3.4813634719760502,3.3930092982402096,3.955621760874324
ENSMUSG00000085558-P,3.8637402043734568,2.385282137693864,3.955621760874324
ENSMUSG00000057421-P,6.682081577245242,7.326190309514525,6.772237174073755
ENSMUSG00000022781-P,7.60769180286535,7.892207656746451,8.180853411234436
ENSMUSG00000030060-P,4.095934905275212,2.0594748867359756,4.676063785822748
ENSMUSG00000015112-P,6.223453861513056,5.749688705337369,6.460938018360121
ENSMUSG00000042426-P,5.438583893485182,5.286147301772223,6.222904514295072
ENSMUSG00000027642-P,8.257647063063077,8.606036449605913,8.053249793231727
ENSMUSG00000105382-P,0.8854767201948464,2.650896865013016,1.081723604305354
ENSMUSG00000024081-P,6.544792471407003,6.054829852279387,7.028141865289104
ENSMUSG00000079442-P,5.351438341732733,5.398777628998076,5.403023629280852
ENSMUSG00000003184-P,6.255809852766065,6.121999400805971,6.265405037504199
ENSMUSG00000005469-P,8.350461822204359,7.496171364231849,8.387381553387211
ENSMUSG00000030094-P,5.2263976789316775,3.98053834928957,5.28403843562497
ENSMUSG00000024941-P,7.001196988871381,6.537327466754477,7.028141865289104
ENSMUSG00000049295-P,6.774312607034409,6.859429873557361,6.8580558033850805
ENSMUSG00000049097-P,3.243935543900742,1.0399210909765384,2.9447421864177903
ENSMUSG00000070348-P,5.914474767210485,7.00887607356001,5.710445808937475
ENSMUSG00000046711-P,2.6050793803100993,2.650896865013016,2.9447421864177903
ENSMUSG00000034647-P,8.316352186088942,7.00887607356001,8.563762100898128
ENSMUSG00000002319-P,6.318422987212532,6.64781567907787,5.963727936145781
ENSMUSG00000020108-P,6.807433753389598,5.984379634000111,7.112046187181966
ENSMUSG00000026273-P,4.938197499381258,4.7762556076837335,4.961030935308618
ENSMUSG00000022246-P,6.436043062252849,6.792282477052913,6.665203621282266
ENSMUSG00000020308-P,6.104126886993057,5.691911793200492,6.633105176688304
ENSMUSG00000050910-P,5.873357915525383,6.83294475092466,6.306689277968143
ENSMUSG00000061533-P,4.525552067463755,4.161713826150124,3.604739428120841
ENSMUSG00000102840-P,0.8854767201948464,0.0,1.692929958963774
ENSMUSG00000058756-P,8.46905305804687,7.853204188884733,8.634375290549876
ENSMUSG00000004698-P,3.4813634719760502,3.3930092982402096,2.7187049314574803
ENSMUSG00000033948-P,4.232267354256176,4.598992446943178,4.3990438140965855
ENSMUSG00000028655-P,1.4301513955146576,2.0594748867359756,3.312157763979618
ENSMUSG00000106032-P,2.388706117066035,0.0,1.692929958963774
ENSMUSG00000086610-P,2.6050793803100993,3.0691532897951093,1.692929958963774
ENSMUSG00000026309-P,6.818307288350684,7.197156685572663,6.844102538328743
ENSMUSG00000021903-P,2.6050793803100993,2.385282137693864,0.0
ENSMUSG00000037262-P,4.97753173822037,4.244427258259998,5.154350736278495
ENSMUSG00000026603-P,4.525552067463755,4.983100341839197,3.465852944286889
ENSMUSG00000005514-P,7.784439300950434,8.009190338362819,7.650081115695045
ENSMUSG00000033808-P,5.089482198528558,4.983100341839197,5.710445808937475
ENSMUSG00000015461-P,7.020157623848049,5.858732499493456,7.213214569786543
ENSMUSG00000045128-P,8.361654812646252,8.898776557650264,8.32344704133511
ENSMUSG00000047146-P,3.243935543900742,2.875129551690155,4.05587983054342
ENSMUSG00000070705-P,4.47147194203123,4.598992446943178,3.731421765117163
ENSMUSG00000040795-P,3.4813634719760502,3.3930092982402096,4.737738392123119
ENSMUSG00000031511-P,6.2397225630926485,6.287184304709906,6.110830057186796
ENSMUSG00000024805-P,5.1249483640572695,4.830812807127612,4.320598421947695
ENSMUSG00000029198-P,6.583549105971545,6.41767052452145,6.460938018360121
ENSMUSG00000032482-P,6.95267567087344,6.923590523943039,6.326896664973563
ENSMUSG00000021288-P,7.620173015087347,7.65579463132848,7.972176642059861
ENSMUSG00000024151-P,5.59851402558366,5.163973699473649,6.0144469193789805
ENSMUSG00000023243-P,3.4813634719760502,1.6379488583154955,2.7187049314574803
ENSMUSG00000030591-P,8.575430929072274,8.816679924382559,8.74363521721269
ENSMUSG00000052751-P,5.7874324012127625,4.883381819626282,6.179113860938536
ENSMUSG00000020389-P,3.945361835709526,3.6573275499737368,4.05587983054342
ENSMUSG00000028959-P,6.255809852766065,6.692694629514694,6.772237174073755
ENSMUSG00000025474-P,4.676598809853049,4.830812807127612,4.544192630379789
ENSMUSG00000064370-P,15.245586319936548,15.320189826101409,15.43522195005025
ENSMUSG00000005580-P,4.232267354256176,5.503248162004732,2.7187049314574803
ENSMUSG00000030663-P,7.517162421912737,6.41767052452145,7.919921994152587
ENSMUSG00000035941-P,6.717362770268372,7.155014863443871,6.772237174073755
ENSMUSG00000036501-P,5.159563533607588,2.0594748867359756,5.710445808937475
ENSMUSG00000033411-P,5.0531221375566435,4.934102472483744,5.28403843562497
ENSMUSG00000035934-P,5.410116281520104,5.568915830032614,5.547791996674059
ENSMUSG00000003344-P,6.19035552671513,6.677889559275795,6.306689277968143
ENSMUSG00000037608-P,7.727895721460851,7.326190309514525,8.439351395861369
ENSMUSG00000026333-P,3.777222373109846,6.64781567907787,3.847872573248563
ENSMUSG00000003527-P,4.356821614027285,2.875129551690155,5.108394717432779
ENSMUSG00000058420-P,5.351438341732733,6.537327466754477,5.937683736208367
ENSMUSG00000019907-P,7.462760868396268,7.217774790613513,7.750741447643128
ENSMUSG00000025410-P,7.377107412978692,7.354396965620693,7.3772223455198205
ENSMUSG00000061718-P,11.04252731735299,10.853510502922378,11.451326562356185
ENSMUSG00000008690-P,6.682081577245242,6.41767052452145,6.4791092270504125
ENSMUSG00000092417-P,5.719453788745271,2.875129551690155,5.198887938145035
ENSMUSG00000004895-P,3.945361835709526,4.161713826150124,2.9447421864177903
ENSMUSG00000025934-P,2.1340565645548835,2.650896865013016,2.4505522388752183
ENSMUSG00000028273-P,6.95267567087344,7.42702499518885,7.357712407761936
ENSMUSG00000026520-P,6.4640085324019,6.38157729528082,6.78689949007841
